Feature,Importance
checking_account,0.15618850679559237
amount,0.11612513239367592
amount_per_month,0.09594816380209294
debt_burden,0.06522372101421565
age_at_end,0.06348656988432927
age,0.05601075670715485
duration,0.05566383151983478
credit_history,0.05181062835358023
savings_account,0.04952312211541259
employment_duration,0.04738401121866595
purpose,0.03774499721799978
personal_status,0.024746109777198436
job,0.023606389200984294
property,0.023229060448072162
other_debtors,0.019620193592990404
residence_duration,0.01878029582659304
housing,0.01832290120096258
other_installment_plans,0.018024760894141116
installment_rate,0.013998072112037805
telephone,0.013828668945779101
existing_credits,0.012333159960420528
dependents,0.009896545678034066
foreign_worker,0.008504401340232134
